id,restaurant_name,area,food_type,google_rating,review_count,price_range,location,travel_note,opening_hours,suitable_for_group,source_url,score_rating,score_group,score_price,score_travel,score_data,score_unique,total_score,image_url,map_embed_url,ai_reasoning,ai_tradeoff
1,Bo.lan,Thong Lo,Thai Fine Dining,4.6,850,฿฿฿฿,24 Sukhumvit 53 Alley,BTS Thong Lo (10 min walk),18:00 - 23:00,Yes,https://maps.google.com/?q=Bolan,24,18,12,14,15,10,93,https://images.unsplash.com/photo-1550966871-3ed3cdb5ed0c?q=80&w=800,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3875.7607758782035!2d100.5768!3d13.7266!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x0!2zMTPCsDQzJzM1LjgiTiAxMDDCsDM0JzM2LjUiRQ!5e0!3m2!1sen!2sth!4v1620000000000!5m2!1sen!2sth,เหมาะสำหรับกลุ่มผู้บริหารหรือการเลี้ยงฉลองแบบพิเศษ อาหารไทยระดับพรีเมียม บรรยากาศหรูหรา,ราคาสูงมากและต้องจองล่วงหน้านาน
2,The Commons Thong Lo,Thong Lo,Food Court/Cafe,4.5,3200,฿฿,335 Thong Lo 17 Alley,BTS Thong Lo (15 min walk/Taxi),08:00 - 01:00,Yes,https://maps.google.com/?q=TheCommons,23,20,15,12,15,8,93,https://images.unsplash.com/photo-1555396273-367ea4eb4db5?q=80&w=800,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3875.7607758782035!2d100.5768!3d13.7266!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x0!2zMTPCsDQzJzM1LjgiTiAxMDDCsDM0JzM2LjUiRQ!5e0!3m2!1sen!2sth!4v1620000000000!5m2!1sen!2sth,พื้นที่กว้างขวาง สั่งอาหารได้หลากหลายร้าน เหมาะกับกลุ่มที่ชอบความชิลล์และอาหารหลายสไตล์,ที่จอดรถน้อยและวันศุกร์-เสาร์คนเยอะมาก
3,Mugendai Honten,Thong Lo,Japanese,4.4,1100,฿฿฿฿,145 Thong Lo 10,BTS Thong Lo (Taxi 5 mins),11:30 - 22:30,Yes,https://maps.google.com/?q=Mugendai,22,17,10,13,15,9,86,https://images.unsplash.com/photo-1579871494447-9811cf80d66c?q=80&w=800,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3875.7607758782035!2d100.5768!3d13.7266!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x0!2zMTPCsDQzJzM1LjgiTiAxMDDCsDM0JzM2LjUiRQ!5e0!3m2!1sen!2sth!4v1620000000000!5m2!1sen!2sth,ซูชิและเทปปันยากิระดับพรีเมียม มีห้องส่วนตัวสำหรับกลุ่มใหญ่,ราคาสูงมากและต้องจองห้องไพรเวทล่วงหน้า
4,Somtum Der,Thong Lo,Thai Isan,4.3,950,฿฿,Thong Lo Soi 17,BTS Thong Lo,11:00 - 22:00,Yes,https://maps.google.com/?q=SomtumDer,21,18,14,14,14,7,88,https://images.unsplash.com/photo-1559314809-0d155014e29e?q=80&w=800,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3875.7607758782035!2d100.5768!3d13.7266!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x0!2zMTPCsDQzJzM1LjgiTiAxMDDCsDM0JzM2LjUiRQ!5e0!3m2!1sen!2sth!4v1620000000000!5m2!1sen!2sth,อาหารอีสานรสจัดจ้าน เหมาะกับสังสรรค์เฮฮาหลังเลิกงาน,เสียงอาจจะดัง และโต๊ะใหญ่อาจมีจำกัด
5,Supanniga Eating Room,Thong Lo,Thai,4.5,1200,฿฿฿,Thong Lo Soi 8,BTS Thong Lo,11:30 - 22:30,Yes,https://maps.google.com/?q=Supanniga,23,19,13,13,15,8,91,https://images.unsplash.com/photo-1550966871-3ed3cdb5ed0c?q=80&w=800,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3875.7607758782035!2d100.5768!3d13.7266!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x0!2zMTPCsDQzJzM1LjgiTiAxMDDCsDM0JzM2LjUiRQ!5e0!3m2!1sen!2sth!4v1620000000000!5m2!1sen!2sth,อาหารไทยรสชาติดั้งเดิม บรรยากาศสบายๆ มีไวน์แพริ่ง,พื้นที่ร้านค่อนข้างเล็ก ต้องจองโต๊ะใหญ่ล่วงหน้า
6,El Gaucho Argentinian Steakhouse,Asok,Steakhouse,4.7,2500,฿฿฿฿,Soi Sukhumvit 19,BTS Asok (5 min walk),11:00 - 23:30,Yes,https://maps.google.com/?q=ElGaucho,24,19,10,15,15,9,92,https://images.unsplash.com/photo-1544025162-831518f8e77a?q=80&w=800,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3875.7607758782035!2d100.5768!3d13.7266!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x0!2zMTPCsDQzJzM1LjgiTiAxMDDCsDM0JzM2LjUiRQ!5e0!3m2!1sen!2sth!4v1620000000000!5m2!1sen!2sth,สเต็กเนื้อคุณภาพสูงมาก บริการระดับ 5 ดาว เดินทางสะดวกติด BTS,ราคาสูงมาก ไม่เหมาะกับงบจำกัด
7,Cabbages & Condoms,Asok,Thai,4.3,4100,฿฿,Sukhumvit 12,BTS Asok (8 min walk),11:00 - 22:00,Yes,https://maps.google.com/?q=Cabbages,21,19,14,13,15,10,92,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?q=80&w=800,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3875.7607758782035!2d100.5768!3d13.7266!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x0!2zMTPCsDQzJzM1LjgiTiAxMDDCsDM0JzM2LjUiRQ!5e0!3m2!1sen!2sth!4v1620000000000!5m2!1sen!2sth,พื้นที่กว้างขวาง ร่มรื่น มีโซน Outdoor สวยงาม คอนเซปต์ร้านแปลกใหม่,ต้องเดินเข้าซอยลึกเล็กน้อย
8,Baan Ying,Siam,Thai,4.2,800,฿฿,Siam Center,BTS Siam (Direct),10:00 - 22:00,Yes,https://maps.google.com/?q=BaanYing,20,18,15,15,14,7,89,https://images.unsplash.com/photo-1559314809-0d155014e29e?q=80&w=800,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3875.7607758782035!2d100.5768!3d13.7266!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x0!2zMTPCsDQzJzM1LjgiTiAxMDDCsDM0JzM2LjUiRQ!5e0!3m2!1sen!2sth!4v1620000000000!5m2!1sen!2sth,เดินทางสะดวกที่สุด อาหารอร่อยทานง่าย เหมาะกับทุกคน,ร้านอยู่ในห้างอาจไม่ได้บรรยากาศชิลล์มากนัก
9,Wisdom International Buffet,Siam,Buffet,4.6,2200,฿฿฿,Siam Square One,BTS Siam,10:00 - 22:00,Yes,https://maps.google.com/?q=Wisdom,24,20,12,15,15,8,94,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?q=80&w=800,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3875.7607758782035!2d100.5768!3d13.7266!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x0!2zMTPCsDQzJzM1LjgiTiAxMDDCsDM0JzM2LjUiRQ!5e0!3m2!1sen!2sth!4v1620000000000!5m2!1sen!2sth,บุฟเฟต์หรู คุมงบได้แน่นอน มีอาหารครบทุกชาติ ถูกใจคนกลุ่มใหญ่ที่ชอบอาหารต่างกัน,จำกัดเวลาทาน 2 ชั่วโมง
10,Ongtong Khaosoi,Ari,Northern Thai,4.4,1500,฿,Phahon Yothin Soi 7,BTS Ari (5 min walk),10:30 - 20:30,Yes,https://maps.google.com/?q=Ongtong,22,15,15,14,14,8,88,https://images.unsplash.com/photo-1559314809-0d155014e29e?q=80&w=800,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3875.7607758782035!2d100.5768!3d13.7266!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x0!2zMTPCsDQzJzM1LjgiTiAxMDDCsDM0JzM2LjUiRQ!5e0!3m2!1sen!2sth!4v1620000000000!5m2!1sen!2sth,ราคาถูก รสชาติมิชลินไกด์ อร่อยและได้เร็ว,ร้านค่อนข้างเล็ก ถ้ามา 10 คนต้องรอโต๊ะนาน
